iter	Passed	Remaining
0	221	221039
1	222	111008
2	224	74654
3	226	56393
4	228	45372
5	230	38124
6	232	32966
7	234	29101
8	236	26046
9	238	23626
10	240	21606
11	242	19937
12	243	18495
13	244	17254
14	247	16229
15	249	15360
16	251	14551
17	253	13805
18	254	13140
19	255	12537
20	257	11983
21	258	11475
22	259	11013
23	260	10589
24	261	10214
25	263	9886
26	265	9567
27	267	9269
28	268	8982
29	269	8708
30	270	8467
31	272	8232
32	273	8022
33	274	7804
34	276	7616
35	277	7433
36	279	7278
37	280	7104
38	281	6939
39	283	6797
40	284	6654
41	285	6505
42	286	6374
43	287	6256
44	289	6136
45	290	6019
46	290	5898
47	292	5796
48	294	5706
49	295	5610
50	296	5518
51	297	5428
52	299	5344
53	300	5266
54	301	5182
55	302	5097
56	303	5023
57	304	4949
58	305	4877
59	306	4802
60	307	4731
61	308	4660
62	309	4607
63	311	4553
64	312	4490
65	313	4431
66	313	4371
67	314	4311
68	315	4251
69	316	4199
70	316	4146
71	317	4094
72	318	4043
73	319	3992
74	319	3939
75	320	3891
76	320	3844
77	321	3805
78	322	3762
79	323	3721
80	324	3685
81	325	3646
82	326	3608
83	328	3578
84	329	3547
85	331	3520
86	332	3486
87	333	3451
88	333	3418
89	334	3384
90	335	3351
91	336	3319
92	337	3289
93	338	3260
94	339	3231
95	340	3201
96	341	3175
97	341	3147
98	342	3120
99	343	3095
100	344	3068
101	345	3039
102	345	3011
103	346	2986
104	347	2961
105	347	2933
106	348	2909
107	349	2887
108	350	2865
109	351	2839
110	351	2817
111	352	2796
112	353	2774
113	354	2751
114	354	2730
115	356	2714
116	357	2694
117	358	2676
118	358	2656
119	359	2637
120	360	2616
121	361	2598
122	362	2581
123	362	2563
124	363	2545
125	364	2527
126	365	2509
127	365	2491
128	366	2474
129	367	2459
130	368	2441
131	368	2425
132	369	2409
133	370	2396
134	372	2383
135	372	2368
136	373	2353
137	374	2338
138	375	2324
139	376	2310
140	377	2297
141	377	2283
142	378	2269
143	379	2255
144	380	2242
145	380	2228
146	381	2215
147	382	2202
148	383	2189
149	384	2177
150	385	2164
151	385	2152
152	387	2143
153	388	2131
154	388	2120
155	389	2105
156	390	2094
157	390	2082
158	391	2070
159	392	2059
160	393	2049
161	394	2038
162	394	2027
163	395	2016
164	396	2005
165	396	1993
166	397	1983
167	398	1972
168	399	1962
169	399	1952
170	400	1942
171	401	1934
